Exercise,Set,Reps,Avg_One_Rep_Max,Suggested_Weight
Squats,1,6,219.61111111111111,183
Squats,1,15,219.61111111111111,146
Squats,1,20,219.61111111111111,132
Squats,1,7,219.61111111111111,178
Squats,1,16,219.61111111111111,143
Squats,1,9,219.61111111111111,169
Squats,1,8,219.61111111111111,173
Squats,1,11,219.61111111111111,161
Squats,1,10,219.61111111111111,165
Stiff-Legged Deadlifts,1,3,216,196
Stiff-Legged Deadlifts,1,12,216,154
Stiff-Legged Deadlifts,1,17,216,138
Stiff-Legged Deadlifts,1,4,216,191
Stiff-Legged Deadlifts,1,13,216,151
Stiff-Legged Deadlifts,1,18,216,135
Stiff-Legged Deadlifts,1,5,216,185
Stiff-Legged Deadlifts,1,14,216,147
Stiff-Legged Deadlifts,1,19,216,132
Stiff-Legged Deadlifts,1,6,216,180
Stiff-Legged Deadlifts,1,15,216,144
Stiff-Legged Deadlifts,1,20,216,130
Stiff-Legged Deadlifts,1,7,216,175
Stiff-Legged Deadlifts,1,16,216,141
Stiff-Legged Deadlifts,1,9,216,166
Stiff-Legged Deadlifts,1,8,216,171
Stiff-Legged Deadlifts,1,11,216,158
Stiff-Legged Deadlifts,1,10,216,162
Upright Rows,1,3,90.83333333333333,83
Upright Rows,1,12,90.83333333333333,65
Upright Rows,1,17,90.83333333333333,58
Upright Rows,1,4,90.83333333333333,80
Upright Rows,1,13,90.83333333333333,63
Upright Rows,1,18,90.83333333333333,57
Upright Rows,1,5,90.83333333333333,78
Upright Rows,1,14,90.83333333333333,62
Upright Rows,1,19,90.83333333333333,56
Upright Rows,1,6,90.83333333333333,76
Upright Rows,1,15,90.83333333333333,61
Upright Rows,1,20,90.83333333333333,54
Upright Rows,1,7,90.83333333333333,74
Upright Rows,1,16,90.83333333333333,59
Upright Rows,1,9,90.83333333333333,70
Upright Rows,1,8,90.83333333333333,72
Upright Rows,1,11,90.83333333333333,66
Upright Rows,1,10,90.83333333333333,68
